John could not see the stage with Billy in front of him because he is so short .	He wanted to see who Jesus was, but because he was short he could not see over the crowd.
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs .	She releases the ball when her hand reaches the bottom of the path.
Sam's drawing was hung just above Tina's and it did look much better with another one below it .	When hanging a picture above a piece of furniture that is 32, there should be approx. 3-8 from the top of your furniture piece and the bottom of your picture
Sam's drawing was hung just above Tina's and it did look much better with another one above it .	Yes, hanging art over a door or window is perfectly acceptable. As a matter of fact, I love it.
The firemen arrived before the police because they were coming from so far away .	My teachers know that I arrive late sometimes. They do not punish me because they know I live far away, he said.
The sack of potatoes had been placed below the bag of flour , so it had to be moved first .	A stack is a limited access data structure - elements can be added and removed from the stack only at the top. push adds an item to the top of the stack, pop removes the item from the top. A helpful analogy is to think of a stack of books; you can remove only the top book, also you can add a new book on the top.
In the middle of the outdoor concert , the rain started falling , but it continued until 10 .	Then in middle of June, I started coughing and it continued for 3 weeks
Ann asked Mary what time the library closes , but she had forgotten .	The Crowd And Yhuu Should Hav Asked For Her Number I Doubt She Would Have Forgotten Yhur Name Or Who Yhuu Are In That Little Time.
I could not put the pot on the shelf because it was too high .	I couldn't put a top on it because it was SO ridiculously tall
I am sure that my map will show this building ; it is very good .	Google corrects its map after it shows a Senate office building
I am sure that my map will show this building ; it is very famous .	there is a famous description of a 'paradise'. It is shown by a paradisiacal situation on earth.
Alice tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely .	She saw Carmen yelling at the kids, acting strangely.
In the storm , the tree fell down and crashed through the roof of my house . Now , I have to get it repaired .	iPhone owners had their software crashed and they need to dial a helpline to fix it.
The path to the lake was blocked , so we could not reach it  .	Because crowds of panicking people blocked the road to the guesthouse, we tried an alternative road.
We went to the lake , because a shark had been seen at the ocean beach , so it was a dangerous place to swim .	you can effectively see or seen when driving at night. It also makes your vehicle unsafe for driving in the dark.
Mary tucked her daughter Anne into bed , so that she could work .	We loved using swaddle blankets because it helped our children sleep better because they were tucked in
Fred covered his eyes with his hands , because the wind was blowing sand around . He opened them when the wind stopped .	you can either do a Surprise Blow to prevent the blowee from defensively closing their eye just before you do the deed, or you can do the real surgical technique, where you get them to lie down, hold their eye
Fred covered his eyes with his hands , because the wind was blowing sand around . He lowered them when the wind stopped .	the turret could be lifted or lowered according to the needs.
The journalists interviewed the stars of the new movie . They were very cooperative , so the interview lasted for a long time .	it would last relatively longer, even if the cooperation has been received
When the sponsors of the bill got to the town hall , they were surprised to find that the room was full of opponents . They were very much in the majority .	a large burgundy room that was full of paintings by French artists. The majority of them were dark with minimal elements of bright light in the work.
I could not find a spoon , so I tried using a pen to stir my coffee . But that turned out to be a bad idea , because it got full of coffee .	Hot coffee is stirred with a spoon, the spoon gets hot
I could not find a spoon , so I tried using a pen to stir my coffee . But that turned out to be a bad idea , because it got full of ink .	Stir Fry with Lemon Sauce recipe is full of amazing flavor
Steve follows Fred's example in everything . He influences him hugely .	Authors Influencing Others to Follow
Grace was happy to trade me her sweater for my jacket . She thinks it looks dowdy on her .	You can take an outfit that would look frumpy with a long cardigan, swap it for a boyfriend blazer, and instantly look effortlessly cool
Grace was happy to trade me her sweater for my jacket . She thinks it looks great on her .	Good friend traded his 13 GTI for 18 R. Wheels/front end looks better in person.
John hired himself out to Bill to take care of him  .	A primary caregiver is the person who takes primary responsibility for someone.
John promised Bill to leave , so an hour later he left .	I promised the local draft board to go right into the army, so I graduated and went right in.
John ordered Bill to leave , so an hour later he left .	They ordered him to pay up so he did
Emma's mother had died long ago , and her education had been managed by an excellent woman as governess .	Emma is motherless and has been educated by Miss Taylor, her governess of 16 years
Dan took the rear seat while Bill claimed the front because his Dibs was slow .	Not calling dibs before your siblings so you got stuck in the rear-facing seats of your parent's station wagon.
Dan took the rear seat while Bill claimed the front because his Dibs was quicker .	We've told you which cars to call front-seat dibs to avoid being stuck in the backseat with leg cramps and neck spasms. It only seems appropriate to fill you in on which cars allow you to relax and enjoy a comfortable ride in the backseat and let the friend who called shotgun play road-trip navigator while you chill out and enjoy the scenery.
As Andrea in the crop duster passed over Susan , she could see the landing strip .	I was looking down from an airplane window and seeing this huge landscape and these geological features, and [wondering about] the landscape I was flying over
As Andrea in the crop duster passed over Susan , she could see the landing gear .	Hurricane Rosa could dump 2 to 3 inches of rain on Phoenix. Phoenix could see rain from Hurricane Rosa.
Bill passed the gameboy to John because his turn was over .	On the first day of class, my student gave me an apple
When Tommy dropped his ice cream , Timmy giggled , so father gave him a sympathetic look .	Mikey gave her the most sympathetic look he could muster then pushed her hair back.
When Tommy dropped his ice cream , Timmy giggled , so father gave him a stern look .	So when I heard her laughing, I was very angry and I mocked her laugh.
George got free tickets to the play , but he gave them to Eric , because he was particularly eager to see it .	US beverage maker Coca-Cola is giving free tickets to those willing to view the ultimate football prize
George got free tickets to the play , but he gave them to Eric , because he was not particularly eager to see it .	Eighteenth-century leaders were extremely anxious to show their disinterest; a number of them gave away their fortune  and bankrupted themselves.
Emma did not pass the ball to Janie although she saw that she was open .	he does not pass the ball even though a teammate is open
Emma did not pass the ball to Janie although she was open .	Dion Waiters is wide open but LeBron James won't pass the ball.
